Id	Score_Difference	Len_cluster_v1	Len_cluster_v2	Len_rank_v1	Len_rank_v2	Len_rank_dif	Merge_v1	Merge_v2	Merge_dif	Dup_v1	Dup_v2	Dup_dif	MA_gaps_v1	MA_gaps_v2	MA_gaps_dif	MA_extra_v1	MA_extra_v2	MA_extra_dif	MA_conserv_v1	MA_conserv_v2	MA_conserv_dif
ENSDARG00000000102|ENSDART00000000102	37	yes	yes	0.08	0.5	0.42	0.0	0.0	0.0	1.0	0.13	-0.88	0.37	0.16	-0.22	0.01	0.01	-0.0	0.95	0.97	0.02
ENSDARG00000000086|ENSDART00000000087	-25	yes	yes	0.02	0.02	0.0	0.16	0.14	-0.02	0.5	0.5	0.0	0.03	0.02	-0.01	0.03	0.03	0.0	1.0	0.75	-0.25
ENSDARG00000000142|ENSDART00000000151	0	no	no	0.29	0.43	0.14	0.0	-0.22	-0.22	1.0	1.0	0.0	-	-	-	-	-	-
ENSDARG00000000161|ENSDART00000000170	0	no	no	0.32	0.37	0.05	0.02	0.03	0.0	0.5	0.5	0.0	0.14	0.16	0.02	0.02	0.02	0.0	1.0	1.0	0.0
ENSDARG00000069824|ENSDART00000000473	0	no	no	0.25	0.25	0.0	0.53	0.61	0.08	0.06	0.25	0.19	0.2	0.07	-0.13	0.03	0.02	-0.01	1.0	1.0	0.0
ENSDARG00000000189|ENSDART00000000198	25	yes	no	0.14	0.32	0.18	-0.53	0.0	0.53	1.0	1.0	0.0	0.32	0.04	-0.28	0.01	0.04	0.03	0.85	0.9	0.05
ENSDARG00000076182|ENSDART00000000280	25	no	yes	0.12	0.31	0.19	0.0	-0.2	-0.2	1.0	1.0	0.0	0.32	0.08	-0.25	0.01	0.01	0.0	0.59	0.78	0.19
ENSDARG00000000516|ENSDART00000000536	0	yes	yes	0.48	0.48	0.0	-0.46	-0.49	-0.04	0.13	0.13	0.0	0.08	0.08	0.0	0.08	0.08	0.0	0.86	0.86	0.0
ENSDARG00000000370|ENSDART00000000382	0	no	no	0.17	0.06	-0.11	-0.78	0.0	0.78	0.13	0.03	-0.09	0.63	0.01	-0.62	0.0	0.04	0.04	0.4	1.0	0.6
ENSDARG00000000472|ENSDART00000000486	0	yes	yes	0.12	0.12	0.0	-0.65	-0.64	0.01	1.0	1.0	0.0	0.19	0.19	0.0	0.0	0.0	0.0	0.79	0.79	0.0
ENSDARG00000000183|ENSDART00000000192	12	no	yes	0.4	0.4	0.0	0.38	0.39	0.0	1.0	1.0	0.0	0.11	0.1	-0.01	0.01	0.0	-0.01	0.99	1.0	0.01
ENSDARG00000000567|ENSDART00000000595	-25	yes	no	0.24	0.07	-0.17	-12.77	-2.79	9.98	1.0	1.0	0.0	0.17	0.05	-0.12	0.06	0.09	0.03	0.97	0.88	-0.09
ENSDARG00000000767|ENSDART00000000841	-38	no	no	0.2	0.0	-0.2	0.0	0.0	0.0	1.0	1.0	0.0	-	-	-	-	-	-
ENSDARG00000000529|ENSDART00000000552	0	yes	yes	0.25	0.33	0.08	-1.51	-1.51	-0.0	1.0	1.0	0.0	0.06	0.06	0.0	0.01	0.01	0.0	0.94	0.94	0.0
ENSDARG00000001354|ENSDART00000000838	25	no	yes	0.13	0.21	0.08	0.0	0.0	0.0	1.0	1.0	0.0	0.07	0.04	-0.03	0.01	0.03	0.03	0.84	0.86	0.01
ENSDARG00000000476|ENSDART00000000637	0	no	no	0.01	0.01	0.0	5.17	0.0	-5.17	1.0	1.0	0.0	0.42	0.44	0.02	0.01	0.01	0.0	0.9	0.85	-0.05
ENSDARG00000000796|ENSDART00000000876	0	no	no	0.23	0.24	0.01	0.0	0.0	0.0	1.0	1.0	0.0	0.1	0.1	0.0	0.02	0.01	-0.01	0.84	0.84	0.0
ENSDARG00000000666|ENSDART00000000711	0	yes	yes	0.38	0.38	0.0	-0.15	-0.15	-0.01	1.0	1.0	0.0	-	-	-	-	-	-
ENSDARG00000022185|ENSDART00000001755	-25	yes	yes	0.34	0.35	0.01	-1.05	-1.65	-0.59	1.0	1.0	0.0	0.13	0.12	-0.0	0.02	0.01	-0.01	0.88	0.7	-0.18
ENSDARG00000001015|ENSDART00000001148	-25	yes	yes	0.44	0.46	0.02	-0.26	0.0	0.26	1.0	0.02	-0.98	0.07	0.07	0.0	0.04	0.08	0.04	0.81	1.0	0.19
ENSDARG00000001414|ENSDART00000001102	0	yes	no	0.11	0.26	0.15	0.0	0.0	0.0	1.0	0.03	-0.97	0.53	0.03	-0.51	0.0	0.05	0.05	0.92	1.0	0.08
ENSDARG00000000730|ENSDART00000001861	0	no	no	0.14	0.14	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.07	0.05	-0.01	0.0	0.0	0.0	0.85	0.87	0.02
ENSDARG00000034300|ENSDART00000002104	0	yes	yes	0.13	0.19	0.06	-0.17	-0.17	-0.0	1.0	1.0	0.0	0.06	0.01	-0.05	0.0	0.01	0.01	0.93	0.94	0.01
ENSDARG00000001559|ENSDART00000001805	0	no	no	0.07	0.04	-0.03	-0.08	0.18	0.26	0.02	0.02	0.0	0.03	0.0	-0.02	0.0	0.0	0.0	0.97	0.98	0.01
ENSDARG00000001572|ENSDART00000001821	12	yes	yes	0.16	0.24	0.08	0.0	0.0	0.0	1.0	1.0	0.0	0.15	0.15	0.0	0.02	0.04	0.02	0.89	0.88	-0.01
ENSDARG00000013221|ENSDART00000002096	0	no	no	0.19	0.19	0.0	-0.2	-0.2	0.0	1.0	1.0	0.0	0.16	0.16	-0.0	0.01	0.01	0.0	0.96	0.95	-0.01
ENSDARG00000001154|ENSDART00000001313	13	no	no	0.19	0.24	0.05	-0.01	-0.02	-0.01	0.0	0.02	0.01	0.28	0.27	-0.01	0.03	0.01	-0.02	0.84	0.92	0.08
ENSDARG00000078760|ENSDART00000002055	38	no	no	0.0	0.27	0.27	-0.09	-2.3	-2.2	1.0	1.0	0.0	0.81	0.08	-0.73	0.0	0.01	0.0	0.09	0.93	0.84
ENSDARG00000000966|ENSDART00000001092	-25	no	no	0.18	0.18	0.0	0.18	0.18	-0.0	1.0	1.0	0.0	0.19	0.24	0.05	0.04	0.05	0.01	1.0	1.0	0.0
ENSDARG00000006786|ENSDART00000002177	0	yes	yes	0.37	0.25	-0.12	-0.46	0.0	0.46	1.0	1.0	0.0	0.02	0.02	0.0	0.05	0.09	0.04	1.0	1.0	0.0
ENSDARG00000000972|ENSDART00000001098	25	no	no	0.17	0.17	0.0	0.01	-0.04	-0.05	1.0	1.0	0.0	0.55	0.02	-0.53	0.0	0.0	0.0	0.41	0.99	0.58
ENSDARG00000040002|ENSDART00000002118	0	no	no	0.31	0.28	-0.03	-0.71	-0.59	0.12	1.0	1.0	0.0	0.12	0.12	0.01	0.01	0.0	-0.01	0.93	0.96	0.03
ENSDARG00000004115|ENSDART00000001159	0	yes	yes	0.46	0.21	-0.25	-0.7	-0.49	0.21	1.0	1.0	0.0	0.06	0.0	-0.06	0.02	0.02	0.0	0.91	0.96	0.05
ENSDARG00000001057|ENSDART00000001201	0	no	no	0.25	0.25	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.04	0.04	0.0	0.08	0.08	0.0	1.0	1.0	0.0
ENSDARG00000018270|ENSDART00000002908	0	yes	yes	0.25	0.24	-0.01	-0.07	-0.11	-0.04	1.0	1.0	0.0	0.05	0.0	-0.05	0.0	0.0	0.0	0.94	0.95	0.01
ENSDARG00000004877|ENSDART00000002777	0	no	no	0.1	0.12	0.02	0.0	0.0	0.0	1.0	1.0	0.0	0.02	0.01	-0.01	0.02	0.0	-0.02	0.85	0.83	-0.02
ENSDARG00000015102|ENSDART00000002526	50	no	yes	0.14	0.39	0.25	0.51	-0.03	-0.54	1.0	1.0	0.0	0.28	0.21	-0.07	0.01	0.0	-0.0	0.79	0.88	0.09
